序号,书名,作者,译者,出版单位,豆瓣评分,评价人数,bcard,country,bcard2
1,红楼梦,[清] 曹雪芹 著,, 人民文学出版社,9.6,347637,"
<div class=""card-center text-center"" style=""width: 18rem;"">
  <ul class=""list-group list-group-flush"">
    <li class=""list-group-item"">1</li>
    <li class=""h1 list-group-item"">红楼梦</li>
    <li class=""h2 list-group-item"">9.6</li>
    <li class=""list-group-item"">[清] 曹雪芹 著</li>
  </ul>
</div>
",中国,"
<div class=""card text-center"">
  <div class=""card-body"">
    <h3 class=""card-title"">红楼梦</h3>
    <h5 class=""card-text"">豆瓣分9.6</h5>
  </div>
  <div class=""card-footer text-muted"">
    排名第1
  </div>
</div>
"
2,活着,余华,, 作家出版社,9.4,624567,"
<div class=""card-center text-center"" style=""width: 18rem;"">
  <ul class=""list-group list-group-flush"">
    <li class=""list-group-item"">2</li>
    <li class=""h1 list-group-item"">活着</li>
    <li class=""h2 list-group-item"">9.4</li>
    <li class=""list-group-item"">余华</li>
  </ul>
</div>
",中国,"
<div class=""card text-center"">
  <div class=""card-body"">
    <h3 class=""card-title"">活着</h3>
    <h5 class=""card-text"">豆瓣分9.4</h5>
  </div>
  <div class=""card-footer text-muted"">
    排名第2
  </div>
</div>
"
3,百年孤独,[哥伦比亚] 加西亚·马尔克斯, 范晔, 南海出版公司,9.3,349395,"
<div class=""card-center text-center"" style=""width: 18rem;"">
  <ul class=""list-group list-group-flush"">
    <li class=""list-group-item"">3</li>
    <li class=""h1 list-group-item"">百年孤独</li>
    <li class=""h2 list-group-item"">9.3</li>
    <li class=""list-group-item"">[哥伦比亚] 加西亚·马尔克斯</li>
  </ul>
</div>
",哥伦比亚,"
<div class=""card text-center"">
  <div class=""card-body"">
    <h3 class=""card-title"">百年孤独</h3>
    <h5 class=""card-text"">豆瓣分9.3</h5>
  </div>
  <div class=""card-footer text-muted"">
    排名第3
  </div>
</div>
"
4,1984,[英] 乔治·奥威尔, 刘绍铭, 北京十月文艺出版社,9.4,192357,"
<div class=""card-center text-center"" style=""width: 18rem;"">
  <ul class=""list-group list-group-flush"">
    <li class=""list-group-item"">4</li>
    <li class=""h1 list-group-item"">1984</li>
    <li class=""h2 list-group-item"">9.4</li>
    <li class=""list-group-item"">[英] 乔治·奥威尔</li>
  </ul>
</div>
",英,"
<div class=""card text-center"">
  <div class=""card-body"">
    <h3 class=""card-title"">1984</h3>
    <h5 class=""card-text"">豆瓣分9.4</h5>
  </div>
  <div class=""card-footer text-muted"">
    排名第4
  </div>
</div>
"
5,飘,[美国] 玛格丽特·米切尔, 李美华, 译林出版社,9.3,183276,"
<div class=""card-center text-center"" style=""width: 18rem;"">
  <ul class=""list-group list-group-flush"">
    <li class=""list-group-item"">5</li>
    <li class=""h1 list-group-item"">飘</li>
    <li class=""h2 list-group-item"">9.3</li>
    <li class=""list-group-item"">[美国] 玛格丽特·米切尔</li>
  </ul>
</div>
",美,"
<div class=""card text-center"">
  <div class=""card-body"">
    <h3 class=""card-title"">飘</h3>
    <h5 class=""card-text"">豆瓣分9.3</h5>
  </div>
  <div class=""card-footer text-muted"">
    排名第5
  </div>
</div>
"
6,三体全集:地球往事三部曲,刘慈欣,, 重庆出版社,9.4,106788,"
<div class=""card-center text-center"" style=""width: 18rem;"">
  <ul class=""list-group list-group-flush"">
    <li class=""list-group-item"">6</li>
    <li class=""h1 list-group-item"">三体全集:地球往事三部曲</li>
    <li class=""h2 list-group-item"">9.4</li>
    <li class=""list-group-item"">刘慈欣</li>
  </ul>
</div>
",中国,"
<div class=""card text-center"">
  <div class=""card-body"">
    <h3 class=""card-title"">三体全集:地球往事三部曲</h3>
    <h5 class=""card-text"">豆瓣分9.4</h5>
  </div>
  <div class=""card-footer text-muted"">
    排名第6
  </div>
</div>
"
7,三国演义（全二册）,[明] 罗贯中,, 人民文学出版社,9.3,141147,"
<div class=""card-center text-center"" style=""width: 18rem;"">
  <ul class=""list-group list-group-flush"">
    <li class=""list-group-item"">7</li>
    <li class=""h1 list-group-item"">三国演义（全二册）</li>
    <li class=""h2 list-group-item"">9.3</li>
    <li class=""list-group-item"">[明] 罗贯中</li>
  </ul>
</div>
",中国,"
<div class=""card text-center"">
  <div class=""card-body"">
    <h3 class=""card-title"">三国演义（全二册）</h3>
    <h5 class=""card-text"">豆瓣分9.3</h5>
  </div>
  <div class=""card-footer text-muted"">
    排名第7
  </div>
</div>
"
8,白夜行,[日] 东野圭吾, 刘姿君, 南海出版公司,9.1,473499,"
<div class=""card-center text-center"" style=""width: 18rem;"">
  <ul class=""list-group list-group-flush"">
    <li class=""list-group-item"">8</li>
    <li class=""h1 list-group-item"">白夜行</li>
    <li class=""h2 list-group-item"">9.1</li>
    <li class=""list-group-item"">[日] 东野圭吾</li>
  </ul>
</div>
",日,"
<div class=""card text-center"">
  <div class=""card-body"">
    <h3 class=""card-title"">白夜行</h3>
    <h5 class=""card-text"">豆瓣分9.1</h5>
  </div>
  <div class=""card-footer text-muted"">
    排名第8
  </div>
</div>
"
9,小王子,[法] 圣埃克苏佩里, 马振聘, 人民文学出版社,9.0,654026,"
<div class=""card-center text-center"" style=""width: 18rem;"">
  <ul class=""list-group list-group-flush"">
    <li class=""list-group-item"">9</li>
    <li class=""h1 list-group-item"">小王子</li>
    <li class=""h2 list-group-item"">9.0</li>
    <li class=""list-group-item"">[法] 圣埃克苏佩里</li>
  </ul>
</div>
",法,"
<div class=""card text-center"">
  <div class=""card-body"">
    <h3 class=""card-title"">小王子</h3>
    <h5 class=""card-text"">豆瓣分9.0</h5>
  </div>
  <div class=""card-footer text-muted"">
    排名第9
  </div>
</div>
"
10,福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔,, 丁钟华 等,9.3,109766,"
<div class=""card-center text-center"" style=""width: 18rem;"">
  <ul class=""list-group list-group-flush"">
    <li class=""list-group-item"">10</li>
    <li class=""h1 list-group-item"">福尔摩斯探案全集（上中下）</li>
    <li class=""h2 list-group-item"">9.3</li>
    <li class=""list-group-item"">[英] 阿·柯南道尔</li>
  </ul>
</div>
",英,"
<div class=""card text-center"">
  <div class=""card-body"">
    <h3 class=""card-title"">福尔摩斯探案全集（上中下）</h3>
    <h5 class=""card-text"">豆瓣分9.3</h5>
  </div>
  <div class=""card-footer text-muted"">
    排名第10
  </div>
</div>
"
